uce_id;classe
grupo7__uce0011;3
grupo7__uce0012;2
grupo7__uce0013;2
grupo7__uce0014;2
grupo7__uce0015;2
grupo7__uce0016;2
grupo7__uce0017;1
grupo7__uce0018;1
grupo7__uce0019;1
grupo7__uce0020;1
grupo7__uce0021;1
grupo7__uce0022;2
grupo7__uce0023;2
grupo7__uce0024;1
grupo7__uce0025;1
grupo7__uce0026;1
grupo7__uce0027;1
grupo7__uce0028;3
grupo7__uce0029;1
grupo7__uce0030;3
grupo7__uce0031;3
grupo7__uce0032;2
grupo7__uce0033;1
grupo7__uce0034;3
grupo7__uce0035;3
grupo7__uce0036;1
grupo8__uce0001;2
grupo8__uce0002;2
grupo8__uce0003;1
grupo8__uce0004;2
grupo8__uce0005;2
grupo8__uce0006;1
grupo8__uce0007;2
grupo8__uce0008;2
grupo8__uce0009;2
grupo8__uce0010;2
grupo8__uce0011;2
grupo8__uce0012;2
grupo8__uce0013;2
grupo8__uce0014;1
grupo8__uce0015;1
grupo8__uce0016;2
grupo8__uce0017;2
grupo8__uce0018;1
grupo8__uce0019;2
grupo8__uce0020;1
grupo8__uce0021;1
grupo8__uce0022;1
grupo8__uce0023;1
grupo8__uce0024;1
grupo8__uce0025;1
grupo8__uce0026;1
grupo8__uce0027;1
grupo8__uce0028;1
grupo8__uce0029;1
grupo8__uce0030;3
grupo8__uce0031;1
grupo8__uce0032;1
grupo8__uce0033;1
grupo8__uce0034;1
grupo8__uce0035;1
grupo8__uce0036;3
grupo8__uce0037;1
grupo8__uce0038;2
grupo8__uce0039;3
grupo8__uce0040;3
grupo8__uce0041;2
grupo8__uce0042;1
grupo8__uce0043;3
grupo8__uce0044;1
grupo8__uce0045;3
grupo8__uce0046;2
grupo8__uce0047;2
grupo8__uce0048;2
