forma;parte;score
ontem;sudeste;0.4799
oral;sudeste;-0.5259
ovo;sudeste;0.8434
paladar;sudeste;1.1693
parar;sudeste;-0.4222
parecer;sudeste;-1.7923
passar;sudeste;-0.4396
pedaço;sudeste;-0.3977
pedir;sudeste;1.1745
pensar;sudeste;0.3619
pequeno;sudeste;1.1693
perceber;sudeste;-0.6878
perder;sudeste;-0.6107
perguntar;sudeste;0.3301
permanecer;sudeste;0.222
período;sudeste;0.3301
peso;sudeste;-0.5557
pesquisar;sudeste;-0.2477
pessoa;sudeste;-0.4028
pior;sudeste;-0.1583
praticamente;sudeste;0.515
preciso;sudeste;-0.1583
preferir;sudeste;0.222
preso;sudeste;-0.5214
problema;sudeste;-0.349
procedimento;sudeste;-0.1583
processo;sudeste;-0.1583
proibir;sudeste;-0.5966
puro;sudeste;0.515
pó;sudeste;-0.2477
pôr;sudeste;0.2126
qualidade;sudeste;-0.1583
quantidade;sudeste;1.1693
queijo;sudeste;0.222
querer;sudeste;-0.7284
questão;sudeste;0.6847
quimioterapia;sudeste;0.4832
receio;sudeste;0.8638
recurso;sudeste;0.515
relacionar;sudeste;-0.6878
relutante;sudeste;-0.3977
remédio;sudeste;-3.7723
resolver;sudeste;-0.2738
respirar;sudeste;-0.3977
ressecar;sudeste;0.3301
restrição;sudeste;-0.5966
resultado;sudeste;-0.1583
rim;sudeste;1.3058
ritmo;sudeste;1.3058
ruim;sudeste;0.2126
rápido;sudeste;-1.3934
sabor;sudeste;-0.6878
sabão;sudeste;0.8638
sair;sudeste;-0.432
salgado;sudeste;-0.3074
salvar;sudeste;0.8434
salvação;sudeste;0.8703
saudável;sudeste;-0.5416
seguro;sudeste;0.515
seletivo;sudeste;0.2187
semana;sudeste;0.437
sensível;sudeste;-0.2738
sentar;sudeste;-0.2477
sentir;sudeste;0.4873
sofrer;sudeste;-0.2133
soltar;sudeste;0.4111
sonda;sudeste;0.4778
suco;sudeste;-0.3074
suplemento;sudeste;0.9419
suprir;sudeste;0.3301
tempero;sudeste;2.1777
tomar;sudeste;-0.2804
tranquilo;sudeste;-0.2477
tratamento;sudeste;0.3159
trocar;sudeste;-0.1583
uso;sudeste;-0.9966
uti;sudeste;0.8638
vender;sudeste;0.581
verdura;sudeste;-0.3123
verduras;sudeste;0.8638
via;sudeste;-0.9966
vida;sudeste;0.2126
vitamina;sudeste;-0.9948
voltar;sudeste;0.2754
vomitar;sudeste;-1.1324
vontade;sudeste;-0.5416
ácido;sudeste;-0.5966
água;sudeste;0.3966
ótimo;sudeste;-0.2738
