;eixo1;eixo2;cor1;cor2;ctr1;ctr2;massa;qualidade_2d
inventar;-0.1381;0.1918;0.3416;0.6584;0.0001;0.0001;0.00105;1.0
invocar;1.1545;-0.2334;0.9607;0.0393;0.0025;0.0001;0.0007;1.0
início;-0.6229;0.3512;0.7587;0.2413;0.0044;0.0017;0.00421;1.0
japonês;1.1545;-0.2334;0.9607;0.0393;0.0038;0.0002;0.00105;1.0
lado;-0.2997;0.2449;0.5996;0.4004;0.0003;0.0003;0.0014;1.0
legume;1.1545;-0.2334;0.9607;0.0393;0.0213;0.0011;0.00597;1.0
leite;0.4701;-0.0083;0.9997;0.0003;0.0035;0.0;0.00597;1.0
lembrar;-0.3967;0.2768;0.6725;0.3275;0.0007;0.0004;0.00176;1.0
levar;-1.1503;-1.4049;0.4013;0.5987;0.005;0.0091;0.0014;1.0
lidar;-0.7844;0.4044;0.79;0.21;0.0017;0.0006;0.00105;1.0
líquido;0.185;0.0855;0.824;0.176;0.0001;0.0;0.0014;1.0
macarrão;-0.4613;0.2981;0.7054;0.2946;0.0012;0.0006;0.00211;1.0
machucar;-0.7844;0.4044;0.79;0.21;0.0035;0.0011;0.00211;1.0
magro;-0.7844;0.4044;0.79;0.21;0.0029;0.0009;0.00176;1.0
maior;-0.0089;0.1493;0.0035;0.9965;0.0;0.0003;0.00351;1.0
mal;-0.1785;0.2051;0.4311;0.5689;0.0005;0.0008;0.00562;1.0
mandar;-0.0089;0.1493;0.0035;0.9965;0.0;0.0001;0.00176;1.0
manhã;-0.7844;0.4044;0.79;0.21;0.0023;0.0008;0.0014;1.0
manter;-0.335;-0.2948;0.5636;0.4364;0.0015;0.0014;0.00492;1.0
mato;1.1545;-0.2334;0.9607;0.0393;0.0038;0.0002;0.00105;1.0
medida;-0.7844;0.4044;0.79;0.21;0.0017;0.0006;0.00105;1.0
medo;-0.7369;-0.3831;0.7872;0.2128;0.0102;0.0034;0.00702;1.0
melhorar;-0.5075;0.3133;0.724;0.276;0.0017;0.0008;0.00246;1.0
menos;-0.3282;0.2543;0.6249;0.3751;0.0017;0.0013;0.00597;1.0
metade;1.1545;-0.2334;0.9607;0.0393;0.0013;0.0001;0.00035;1.0
metotrexato;0.8775;-0.1423;0.9744;0.0256;0.0051;0.0002;0.00246;1.0
molho;1.1545;-0.2334;0.9607;0.0393;0.0038;0.0002;0.00105;1.0
momento;-0.7844;0.4044;0.79;0.21;0.0029;0.0009;0.00176;1.0
monte;1.1545;-0.2334;0.9607;0.0393;0.0038;0.0002;0.00105;1.0
moído;1.1545;-0.2334;0.9607;0.0393;0.0038;0.0002;0.00105;1.0
mudar;0.4701;-0.0083;0.9997;0.0003;0.0035;0.0;0.00597;1.0
mundo;0.5082;-0.0208;0.9983;0.0017;0.0015;0.0;0.00211;1.0
mão;-0.6259;-2.2206;0.0736;0.9264;0.0011;0.0171;0.00105;1.0
nariz;-1.1503;-1.4049;0.4013;0.5987;0.005;0.0091;0.0014;1.0
necessidade;-0.7844;0.4044;0.79;0.21;0.0069;0.0023;0.00421;1.0
noite;-0.3967;0.2768;0.6725;0.3275;0.0007;0.0004;0.00176;1.0
notar;0.185;0.0855;0.824;0.176;0.0001;0.0;0.0014;1.0
nunca;-0.2194;-0.2103;0.5213;0.4787;0.0008;0.0009;0.00632;1.0
nutricionista;-0.2028;0.2131;0.4753;0.5247;0.0004;0.0005;0.00351;1.0
