forma;parte;score
ressecar;superior;-0.5732
restrição;superior;-0.4298
resultado;superior;-0.4298
rim;superior;-0.4298
ritmo;superior;-0.4298
ruim;superior;-0.5308
rápido;superior;0.2014
sabor;superior;-0.4306
sabão;superior;-0.3352
sair;superior;-0.3816
salgado;superior;-0.4306
salvar;superior;-0.5732
salvação;superior;-0.2865
saudável;superior;1.2508
seguro;superior;0.2018
seletivo;superior;0.8584
semana;superior;-0.8862
sensível;superior;-0.1641
sentar;superior;0.6427
sentir;superior;2.4724
sofrer;superior;0.6556
soltar;superior;-0.8602
sonda;superior;-1.0504
suco;superior;0.5087
suplemento;superior;-0.998
suprir;superior;2.2081
tempero;superior;-0.7166
tomar;superior;0.2703
tranquilo;superior;1.7443
tratamento;superior;-0.2832
trocar;superior;0.2018
uso;superior;-0.635
uti;superior;-0.8602
vender;superior;-0.2458
verdura;superior;0.9903
verduras;superior;0.2694
via;superior;-1.291
vida;superior;-0.5308
vitamina;superior;-0.2458
voltar;superior;0.9782
vomitar;superior;0.6505
vontade;superior;0.2694
ácido;superior;-0.4298
água;superior;-0.3027
ótimo;superior;-0.1641
