forma;parte;score
ovo;G2;0.249
paladar;G2;-0.6307
parar;G2;-0.4424
parecer;G2;-0.8112
passar;G2;0.3083
pedaço;G2;1.4563
pedir;G2;-0.3227
pensar;G2;0.2804
pequeno;G2;-0.213
perceber;G2;0.8982
perder;G2;-0.3142
perguntar;G2;0.7924
permanecer;G2;-0.18
período;G2;-0.3602
peso;G2;-0.7736
pesquisar;G2;1.835
pessoa;G2;0.1902
pior;G2;0.3344
praticamente;G2;0.3344
preciso;G2;-0.2701
preferir;G2;-0.18
preso;G2;-0.2189
problema;G2;0.3463
procedimento;G2;0.3344
processo;G2;1.0369
proibir;G2;2.1854
puro;G2;-0.2701
pó;G2;-0.8112
pôr;G2;-0.7209
qualidade;G2;0.3344
quantidade;G2;-0.6307
queijo;G2;-0.18
querer;G2;0.7941
questão;G2;-0.6622
quimioterapia;G2;1.0106
receio;G2;-0.5405
recurso;G2;-0.2701
relacionar;G2;0.8982
relutante;G2;-0.18
remédio;G2;1.3949
resolver;G2;0.249
respirar;G2;-0.18
ressecar;G2;-0.3602
restrição;G2;-0.2701
resultado;G2;-0.2701
rim;G2;-0.2701
ritmo;G2;-0.2701
ruim;G2;-0.7209
rápido;G2;0.4115
sabor;G2;-0.6307
sabão;G2;-0.5405
sair;G2;0.2985
salgado;G2;-0.213
salvar;G2;-0.3602
salvação;G2;-0.18
saudável;G2;1.8786
seguro;G2;-0.2701
seletivo;G2;0.6261
semana;G2;-0.7712
sensível;G2;-0.3602
sentar;G2;0.6417
sentir;G2;1.9706
sofrer;G2;0.5044
soltar;G2;-0.5405
sonda;G2;-0.3689
suco;G2;0.8982
suplemento;G2;-0.74
suprir;G2;0.7924
tempero;G2;-0.4503
tomar;G2;0.4766
tranquilo;G2;0.6417
tratamento;G2;0.3602
trocar;G2;-0.2701
uso;G2;-0.8112
uti;G2;-0.5405
vender;G2;0.1902
verdura;G2;0.988
verduras;G2;0.5044
via;G2;-0.8112
vida;G2;-0.2664
vitamina;G2;0.1902
voltar;G2;0.2421
vomitar;G2;0.5288
vontade;G2;0.5044
ácido;G2;-0.2701
água;G2;-0.3859
ótimo;G2;-0.3602
acabar;G3;1.9155
aceitar;G3;-0.3076
acompanhar;G3;0.9131
acostumar;G3;-0.1983
acreditar;G3;0.3245
adaptar;G3;0.4358
adiantar;G3;0.2226
adolescente;G3;0.581
adorar;G3;0.2226
agradecer;G3;-0.2645
ajudar;G3;-0.4562
alimentação;G3;-2.4619
alteração;G3;-0.1983
alto;G3;-0.1322
ambiente;G3;0.4358
amendoim;G3;-0.1983
apetite;G3;-0.5294
aprender;G3;0.4321
apresentar;G3;-0.1983
arroz;G3;-0.7947
arrumar;G3;-0.1983
atrapalhar;G3;-0.2645
autismo;G3;-0.1983
azedo;G3;-0.0661
açúcar;G3;-0.4631
bastante;G3;-0.7418
bater;G3;1.5753
beber;G3;-0.3631
bem;G3;1.1618
benefício;G3;-0.1983
besteira;G3;-1.2599
boca;G3;1.0062
bola;G3;1.7016
bolo;G3;-0.1322
bonito;G3;0.4358
botar;G3;-0.1983
braço;G3;2.5537
brigar;G3;-0.1983
básico;G3;-0.3969
cabeça;G3;0.2733
café;G3;-0.2645
carne;G3;0.2826
casa;G3;-0.2204
casca;G3;1.0083
cheiro;G3;0.5007
comer;G3;0.5019
começar;G3;-1.3824
comida;G3;-0.3764
comprar;G3;-0.662
conhecimento;G3;0.5872
conseguir;G3;0.7112
consulta;G3;-0.1983
contar;G3;0.1833
continuar;G3;-0.2388
conversar;G3;-0.3307
corpo;G3;-0.5294
correr;G3;1.5615
correto;G3;-0.3969
cortar;G3;0.1833
cozinhar;G3;1.6499
cru;G3;0.3409
cuidado;G3;1.0083
câncer;G3;-0.9275
danone;G3;-0.1322
dentro;G3;0.3409
depender;G3;0.2733
descobrir;G3;-0.3307
desconto;G3;-0.1322
deus;G3;-0.2504
diagnóstico;G3;-0.1983
diarreia;G3;0.3409
dieta;G3;0.6929
diferente;G3;-0.4072
dificuldade;G3;-0.5978
digestão;G3;2.5537
diminuir;G3;0.3737
direto;G3;0.6929
doce;G3;-0.5725
dor;G3;0.6929
dormir;G3;1.0083
doutor;G3;0.6772
dúvida;G3;-0.662
emagrecer;G3;0.4358
engasgava;G3;-0.0661
engolir;G3;0.1833
engordar;G3;-0.2005
enjoar;G3;-0.4524
entender;G3;-0.4986
entrar;G3;-0.3307
errado;G3;0.4358
específico;G3;-0.1983
esperar;G3;0.828
essencial;G3;0.828
estômago;G3;0.6929
evitar;G3;-0.1983
exame;G3;-0.3307
exemplo;G3;-0.2005
experiência;G3;1.3963
explicar;G3;-0.2788
falado;G3;-0.1983
falta;G3;-0.2645
fase;G3;0.2226
feijão;G3;0.1833
final;G3;0.4358
forma;G3;-0.2645
forte;G3;0.2733
forçar;G3;-0.9939
fraco;G3;-0.1322
frango;G3;-0.3307
frente;G3;0.4358
fruta;G3;-0.9075
funcionar;G3;0.5872
furado;G3;0.8503
fácil;G3;1.7663
ganhar;G3;0.6929
garrafa;G3;1.5615
gastrostomia;G3;-0.4986
geral;G3;-0.3307
gostar;G3;-0.3592
gosto;G3;-0.2005
graça;G3;0.2158
grosso;G3;-0.1983
higiene;G3;-0.3631
hipoclorito;G3;-0.662
horrível;G3;-0.1983
hospital;G3;0.2467
importante;G3;1.7663
imunidade;G3;-0.5294
incomodar;G3;-0.2388
independente;G3;1.0083
infecção;G3;-0.1983
interessante;G3;0.2733
internar;G3;-0.4192
intestino;G3;1.1167
introdução;G3;-0.1983
inventar;G3;-0.1983
invocar;G3;-0.1322
início;G3;1.1167
japonês;G3;-0.1983
lado;G3;0.3409
legume;G3;-0.2504
leite;G3;0.3583
lembrar;G3;-0.3307
levar;G3;0.3409
lidar;G3;-0.1983
líquido;G3;0.3409
macarrão;G3;0.2226
machucar;G3;1.3963
magro;G3;1.6499
maior;G3;0.3737
mal;G3;-1.0604
mandar;G3;0.2733
manhã;G3;-0.2645
manter;G3;0.2158
mato;G3;-0.1983
medida;G3;-0.1983
medo;G3;1.8049
melhorar;G3;1.2004
menos;G3;1.0997
metade;G3;-0.0661
metotrexato;G3;-0.4631
molho;G3;-0.1983
momento;G3;0.828
monte;G3;-0.1983
moído;G3;-0.1983
mudar;G3;0.6772
mundo;G3;-0.3969
mão;G3;0.4358
nariz;G3;-0.2645
necessidade;G3;0.2826
noite;G3;0.2733
notar;G3;0.3409
nunca;G3;0.6154
nutricionista;G3;-0.662
nutrir;G3;-0.1983
náusea;G3;-0.2818
observar;G3;1.4353
oferecer;G3;-0.4631
ontem;G3;-0.5294
oral;G3;-0.5957
ovo;G3;-0.2645
paladar;G3;-0.4631
parar;G3;-0.2788
parecer;G3;-0.2005
passar;G3;-0.8744
pedaço;G3;-0.1322
pedir;G3;-0.2005
pensar;G3;0.4321
pequeno;G3;0.1833
perceber;G3;-0.4631
perder;G3;0.3201
perguntar;G3;-0.2645
permanecer;G3;0.581
período;G3;0.3409
peso;G3;0.624
pesquisar;G3;-0.5957
pessoa;G3;0.2733
pior;G3;-0.1983
praticamente;G3;-0.1983
preciso;G3;1.2672
preferir;G3;-0.1322
preso;G3;0.631
problema;G3;0.2467
procedimento;G3;-0.1983
processo;G3;-0.1983
proibir;G3;-0.1983
puro;G3;-0.1983
pó;G3;-0.2005
pôr;G3;-0.5294
qualidade;G3;0.4358
quantidade;G3;-0.4631
queijo;G3;-0.1322
querer;G3;0.3773
questão;G3;0.232
quimioterapia;G3;-1.1046
receio;G3;-0.3969
recurso;G3;-0.1983
relacionar;G3;0.5872
relutante;G3;-0.1322
remédio;G3;0.3765
resolver;G3;-0.2645
respirar;G3;-0.1322
ressecar;G3;-0.2645
restrição;G3;-0.1983
resultado;G3;-0.1983
rim;G3;-0.1983
