forma;parte;score
danone;4-6 meses;-0.3439
dentro;4-6 meses;0.9775
depender;4-6 meses;-0.3246
descobrir;4-6 meses;-0.3246
desconto;4-6 meses;0.9715
deus;4-6 meses;-0.3007
diagnóstico;4-6 meses;0.601
diarreia;4-6 meses;-0.6881
dieta;4-6 meses;-0.4392
diferente;4-6 meses;-0.3044
dificuldade;4-6 meses;2.2324
digestão;4-6 meses;-0.516
diminuir;4-6 meses;-1.7225
direto;4-6 meses;-1.0326
doce;4-6 meses;-0.9977
dor;4-6 meses;-1.0326
dormir;4-6 meses;-0.6881
doutor;4-6 meses;1.6306
dúvida;4-6 meses;-0.9532
emagrecer;4-6 meses;-0.516
engasgava;4-6 meses;0.4856
engolir;4-6 meses;-0.5605
engordar;4-6 meses;0.2167
enjoar;4-6 meses;1.5718
entender;4-6 meses;1.3581
entrar;4-6 meses;0.2787
errado;4-6 meses;0.1579
específico;4-6 meses;0.601
esperar;4-6 meses;-0.3246
essencial;4-6 meses;0.2787
estômago;4-6 meses;-0.4392
evitar;4-6 meses;1.4577
exame;4-6 meses;-0.3246
exemplo;4-6 meses;0.2167
experiência;4-6 meses;-0.4392
explicar;4-6 meses;0.2932
falado;4-6 meses;0.1579
falta;4-6 meses;0.9775
fase;4-6 meses;-0.4392
feijão;4-6 meses;-1.205
final;4-6 meses;0.1579
forma;4-6 meses;0.4024
forte;4-6 meses;-0.8603
forçar;4-6 meses;0.24
fraco;4-6 meses;0.262
frango;4-6 meses;-0.3246
frente;4-6 meses;0.1579
fruta;4-6 meses;-0.5083
funcionar;4-6 meses;-0.2325
furado;4-6 meses;-0.1719
fácil;4-6 meses;-0.6873
ganhar;4-6 meses;-1.0326
garrafa;4-6 meses;0.4765
gastrostomia;4-6 meses;-2.7596
geral;4-6 meses;-0.3246
gostar;4-6 meses;-0.612
gosto;4-6 meses;0.2167
graça;4-6 meses;-0.3044
grosso;4-6 meses;-0.516
higiene;4-6 meses;-0.2426
hipoclorito;4-6 meses;-0.2389
horrível;4-6 meses;0.601
hospital;4-6 meses;0.6476
importante;4-6 meses;-0.3152
imunidade;4-6 meses;0.2873
incomodar;4-6 meses;0.6995
independente;4-6 meses;-0.6881
infecção;4-6 meses;0.601
interessante;4-6 meses;0.2787
internar;4-6 meses;0.5685
intestino;4-6 meses;-0.3858
introdução;4-6 meses;-0.516
inventar;4-6 meses;0.1579
invocar;4-6 meses;0.9715
início;4-6 meses;0.2302
japonês;4-6 meses;1.4577
lado;4-6 meses;-0.2189
legume;4-6 meses;-0.3007
leite;4-6 meses;-1.3106
lembrar;4-6 meses;0.2787
levar;4-6 meses;0.9775
lidar;4-6 meses;0.601
líquido;4-6 meses;-0.6881
macarrão;4-6 meses;0.1964
machucar;4-6 meses;-0.4392
magro;4-6 meses;-0.3246
maior;4-6 meses;-0.2389
mal;4-6 meses;0.3656
mandar;4-6 meses;0.2787
manhã;4-6 meses;0.4024
manter;4-6 meses;0.5355
mato;4-6 meses;-0.516
medida;4-6 meses;0.1579
medo;4-6 meses;-0.4976
melhorar;4-6 meses;-1.205
menos;4-6 meses;-0.3007
metade;4-6 meses;-0.1719
metotrexato;4-6 meses;0.3825
molho;4-6 meses;0.601
momento;4-6 meses;0.2787
monte;4-6 meses;0.601
moído;4-6 meses;-0.516
mudar;4-6 meses;-0.5228
mundo;4-6 meses;-1.0326
mão;4-6 meses;0.601
nariz;4-6 meses;-0.6881
necessidade;4-6 meses;0.456
noite;4-6 meses;-0.3246
notar;4-6 meses;-0.2189
nunca;4-6 meses;-0.9535
nutricionista;4-6 meses;0.3735
nutrir;4-6 meses;-0.516
náusea;4-6 meses;1.4253
observar;4-6 meses;0.5355
oferecer;4-6 meses;0.7871
ontem;4-6 meses;0.6102
oral;4-6 meses;-0.8184
ovo;4-6 meses;0.9775
paladar;4-6 meses;-1.205
parar;4-6 meses;0.2932
parecer;4-6 meses;-1.5499
passar;4-6 meses;0.2892
pedaço;4-6 meses;0.9715
pedir;4-6 meses;2.1393
pensar;4-6 meses;0.8703
pequeno;4-6 meses;-0.2325
perceber;4-6 meses;0.3825
perder;4-6 meses;-1.2825
perguntar;4-6 meses;0.4024
permanecer;4-6 meses;-0.3439
período;4-6 meses;0.4024
peso;4-6 meses;-1.5989
pesquisar;4-6 meses;2.1393
pessoa;4-6 meses;-0.3246
pior;4-6 meses;0.1579
praticamente;4-6 meses;0.1579
preciso;4-6 meses;0.1579
preferir;4-6 meses;0.262
preso;4-6 meses;-0.7141
problema;4-6 meses;-0.2426
procedimento;4-6 meses;0.1579
processo;4-6 meses;1.4577
proibir;4-6 meses;1.4577
puro;4-6 meses;-0.516
pó;4-6 meses;-0.4057
pôr;4-6 meses;-0.3152
qualidade;4-6 meses;0.601
quantidade;4-6 meses;-1.205
queijo;4-6 meses;0.262
querer;4-6 meses;0.3327
questão;4-6 meses;-0.572
quimioterapia;4-6 meses;0.8678
receio;4-6 meses;-1.0326
recurso;4-6 meses;0.601
relacionar;4-6 meses;0.3825
relutante;4-6 meses;-0.3439
remédio;4-6 meses;0.414
resolver;4-6 meses;0.4024
respirar;4-6 meses;-0.3439
ressecar;4-6 meses;0.4024
restrição;4-6 meses;-0.516
resultado;4-6 meses;-0.516
rim;4-6 meses;1.4577
ritmo;4-6 meses;1.4577
ruim;4-6 meses;-0.3152
rápido;4-6 meses;-0.2325
sabor;4-6 meses;-1.205
sabão;4-6 meses;0.1964
sair;4-6 meses;0.2977
salgado;4-6 meses;-0.5605
salvar;4-6 meses;-0.6881
